sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,exit_date,exit,pnl_pct,rr,outcome
ISPH,ENERGY,buy,BEAR,2020-03-29,5.3,5.17,5.81,1,False,2020-03-30,5.17,-3.03,1.0,LOSS
ISPH,ENERGY,buy,BEAR,2020-03-30,5.35,5.21,5.86,2,False,2020-04-01,5.21,-3.19,1.0,LOSS
HRHO,SERVICES,buy,BULL,2020-04-08,6.05,5.9,6.62,1,False,2020-04-09,6.62,8.85,3.8,WIN
HRHO,SERVICES,buy,BULL,2020-04-09,6.26,6.01,6.86,1,False,2020-04-12,6.01,-4.57,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,7.05,2,False,2020-04-15,6.17,-4.62,1.0,LOSS
FWRY,SERVICES,early,BULL,2020-04-07,2.03,1.95,2.22,8,False,2020-04-21,2.22,8.78,2.38,WIN
HELI,REAL_ESTATE,buy,NEUTRAL,2020-04-15,3.94,3.78,4.31,2,False,2020-04-21,3.78,-4.64,1.0,LOSS
SWDY,ENERGY,early,BULL,2020-04-07,7.46,7.16,8.18,10,False,2020-04-23,7.6678786277771,2.21,0.69,EXIT
JUFO,SERVICES,buy,NEUTRAL,2020-04-21,6.08,5.83,6.66,3,False,2020-04-26,6.66,8.96,2.32,WIN
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-23,5.72,5.49,6.27,1,False,2020-04-26,6.27,9.04,2.39,WIN
ADIB,BANKS,buy,BULL,2020-04-09,7.6,7.29,8.33,10,False,2020-04-27,7.6378278732299805,-0.08,0.12,EXIT
HRHO,SERVICES,buy,NEUTRAL,2020-04-12,6.03,5.78,6.6,10,False,2020-04-28,6.466666221618652,6.67,1.75,EXIT
HELI,REAL_ESTATE,buy,NEUTRAL,2020-04-21,4.03,3.86,4.41,6,False,2020-04-29,4.41,8.85,2.24,WIN
ABUK,ENERGY,ultra,BULL,2020-04-28,8.75,8.49,9.59,1,False,2020-04-29,8.49,-3.55,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-26,6.14,5.89,6.73,5,False,2020-05-03,5.89,-4.65,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-04-27,4.19,4.02,4.59,4,False,2020-05-03,4.02,-4.63,1.0,LOSS
ABUK,ENERGY,ultra,NEUTRAL,2020-04-29,8.53,8.27,9.34,2,False,2020-05-03,8.27,-3.62,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-04-29,8.13,7.8,8.9,2,False,2020-05-03,7.8,-4.63,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-05-03,7.6,7.3,8.33,4,False,2020-05-07,7.3,-4.52,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-05-03,9.5,9.12,10.41,4,False,2020-05-07,9.12,-4.57,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2020-04-26,7.29,7.07,7.99,10,False,2020-05-10,7.807616233825684,6.53,2.35,EXIT
ESRS,INDUSTRIAL,early,NEUTRAL,2020-05-04,6.02,5.78,6.59,4,False,2020-05-10,5.78,-4.56,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-03,6.47,6.21,7.09,7,False,2020-05-12,7.09,9.01,2.38,WIN
ISPH,ENERGY,buy,NEUTRAL,2020-05-07,5.62,5.45,6.16,4,False,2020-05-13,6.16,9.03,3.18,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-05-11,7.39,7.17,8.1,2,False,2020-05-13,7.17,-3.55,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-12,6.85,6.64,7.51,2,False,2020-05-14,6.64,-3.64,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-05-12,6.35,6.1,6.96,2,False,2020-05-14,6.1,-4.51,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-05-13,4.2,4.07,4.6,1,False,2020-05-14,4.07,-3.67,1.0,LOSS
ISPH,ENERGY,early,NEUTRAL,2020-05-14,6.08,5.9,6.66,4,False,2020-05-20,5.9,-3.54,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-05-19,6.23,6.04,6.82,2,False,2020-05-21,6.04,-3.62,1.0,LOSS
EAST,ENERGY,buy,NEUTRAL,2020-05-14,7.23,7.01,7.92,6,False,2020-05-31,7.01,-3.62,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-14,6.6,6.41,7.24,10,False,2020-06-04,6.573641777038574,-0.97,0.14,EXIT
HELI,REAL_ESTATE,ultra,NEUTRAL,2020-05-18,4.1,3.97,4.49,9,False,2020-06-07,4.49,8.94,3.0,WIN
HRHO,SERVICES,ultra,NEUTRAL,2020-06-04,6.31,6.12,6.91,1,False,2020-06-07,6.91,8.93,3.16,WIN
SAUD,BANKS,buy,NEUTRAL,2020-05-20,2.43,2.36,2.66,10,False,2020-06-10,2.4610068798065186,0.7,0.44,EXIT
ISPH,ENERGY,buy,NEUTRAL,2020-05-21,5.84,5.67,6.4,10,False,2020-06-11,5.825287342071533,-0.83,0.09,EXIT
SKPC,INDUSTRIAL,early,NEUTRAL,2020-06-07,3.9,3.74,4.27,4,False,2020-06-11,3.74,-4.68,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2020-06-07,7.22,7.0,7.91,5,False,2020-06-14,7.0,-3.62,1.0,LOSS
EAST,ENERGY,ultra,NEUTRAL,2020-06-10,7.5,7.27,8.21,2,False,2020-06-14,7.27,-3.64,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-11,5.24,5.03,5.74,1,False,2020-06-14,5.03,-4.58,1.0,LOSS
ETEL,SERVICES,buy,NEUTRAL,2020-06-01,8.46,8.21,9.27,10,False,2020-06-15,9.05855941772461,6.5,2.39,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-14,4.54,4.36,4.98,2,False,2020-06-16,4.98,9.12,2.44,WIN
ETEL,SERVICES,early,NEUTRAL,2020-06-15,9.01,8.65,9.87,4,False,2020-06-21,8.65,-4.57,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-06-11,6.72,6.52,7.36,8,False,2020-06-23,7.36,8.95,3.2,WIN
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-21,4.72,4.53,5.17,2,False,2020-06-23,5.17,8.96,2.37,WIN
TMGH,REAL_ESTATE,buy,NEUTRAL,2020-06-15,5.09,4.93,5.57,7,False,2020-06-24,5.57,8.86,3.0,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-23,7.29,6.99,7.98,2,False,2020-06-25,7.98,8.89,2.3,WIN
CIEB,BANKS,buy,NEUTRAL,2020-06-14,5.06,4.86,5.55,10,False,2020-06-28,5.239068984985352,2.96,0.9,EXIT
FAIT,BANKS,buy,NEUTRAL,2020-06-24,6.26,6.01,6.86,3,False,2020-06-29,6.01,-4.57,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-06-16,7.76,7.45,8.5,10,False,2020-06-30,7.809841156005859,0.07,0.16,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-25,5.11,4.9,5.59,7,False,2020-07-08,5.59,8.82,2.29,WIN
ISPH,ENERGY,ultra,NEUTRAL,2020-06-23,5.87,5.69,6.43,10,False,2020-07-09,5.886321067810059,-0.3,0.09,EXIT
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-08,3.7,3.59,4.06,1,False,2020-07-09,3.59,-3.55,1.0,LOSS
ABUK,ENERGY,buy,NEUTRAL,2020-06-30,7.77,7.46,8.51,6,False,2020-07-12,8.51,8.95,2.39,WIN
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-09,10.45,10.13,11.44,2,False,2020-07-13,10.13,-3.64,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-28,5.21,5.0,5.71,10,False,2020-07-14,5.173717021942139,-1.27,0.17,EXIT
ABUK,ENERGY,early,NEUTRAL,2020-07-12,8.5,8.16,9.31,2,False,2020-07-14,8.16,-4.57,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-06-29,7.69,7.38,8.42,10,False,2020-07-15,7.38,-4.61,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-09,3.58,3.47,3.93,4,False,2020-07-15,3.47,-3.65,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-13,10.46,10.04,11.45,2,False,2020-07-15,10.04,-4.59,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2020-07-14,7.55,7.32,8.27,1,False,2020-07-15,7.32,-3.62,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2020-07-14,8.17,7.84,8.95,1,False,2020-07-15,7.84,-4.61,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-15,9.95,9.55,10.9,1,False,2020-07-16,9.55,-4.6,1.0,LOSS
HRHO,SERVICES,early,NEUTRAL,2020-07-26,8.31,7.97,9.1,2,False,2020-07-28,7.97,-4.67,1.0,LOSS
ORWE,SERVICES,early,NEUTRAL,2020-07-15,3.4,3.26,3.72,10,False,2020-08-04,3.632951498031616,6.28,1.66,EXIT
