sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
HRHO,SERVICES,buy,BULL,2020-04-08,6.05,5.9,6.62,1,False,41.66,2020-04-09,6.62,8.85,3.8,WIN
HRHO,SERVICES,buy,BULL,2020-04-09,6.26,6.01,6.86,1,False,36.89,2020-04-12,6.01,-4.57,1.0,LOSS
SWDY,ENERGY,early,BULL,2020-04-08,7.54,7.24,8.26,12,False,32.7,2020-04-28,8.26,8.97,2.4,WIN
ABUK,ENERGY,ultra,NEUTRAL,2020-04-29,8.53,8.27,9.34,2,False,30.89,2020-05-03,8.27,-3.62,1.0,LOSS
ETEL,SERVICES,ultra,BULL,2020-04-28,7.59,7.36,8.31,4,False,34.5,2020-05-04,7.36,-3.61,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-06-07,3.9,3.74,4.27,4,False,30.15,2020-06-11,3.74,-4.68,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2020-06-07,5.11,4.95,5.59,5,False,30.12,2020-06-14,4.95,-3.71,1.0,LOSS
OCDI,REAL_ESTATE,ultra,NEUTRAL,2020-07-06,9.35,9.07,10.24,1,False,30.11,2020-07-07,10.24,8.94,3.18,WIN
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-08,3.7,3.59,4.06,1,False,30.68,2020-07-09,3.59,-3.55,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-07-08,10.5,10.19,11.51,3,False,30.19,2020-07-13,10.19,-3.53,1.0,LOSS
FAIT,BANKS,ultra,NEUTRAL,2020-07-29,6.14,5.95,6.72,9,False,32.24,2020-08-16,6.72,8.87,3.05,WIN
ESRS,INDUSTRIAL,ultra,NEUTRAL,2020-08-09,5.43,5.27,5.95,5,False,31.13,2020-08-16,5.95,9.0,3.25,WIN
HRHO,SERVICES,early,NEUTRAL,2020-07-28,7.84,7.52,8.59,15,False,32.69,2020-08-24,8.19999885559082,4.02,1.12,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2020-08-11,5.61,5.38,6.14,15,False,30.98,2020-09-02,5.535379409790039,-1.91,0.32,EXIT
ORWE,SERVICES,ultra,NEUTRAL,2020-09-20,3.49,3.39,3.83,1,False,34.43,2020-09-21,3.39,-3.44,1.0,LOSS
ORWE,SERVICES,buy,BULL,2020-09-21,3.45,3.35,3.78,5,False,36.24,2020-09-28,3.78,8.99,3.3,WIN
COMI,BANKS,early,NEUTRAL,2020-09-15,31.27,30.02,34.26,15,False,30.19,2020-10-06,30.841341018676758,-1.95,0.34,EXIT
SWDY,ENERGY,ultra,NEUTRAL,2020-10-07,6.46,6.26,7.08,2,False,32.82,2020-10-12,7.08,9.02,3.1,WIN
HRHO,SERVICES,buy,NEUTRAL,2020-10-01,7.63,7.4,8.36,10,False,31.09,2020-10-18,7.4,-3.59,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-10-12,6.92,6.71,7.58,8,False,32.21,2020-10-22,6.71,-3.61,1.0,LOSS
ETEL,SERVICES,early,NEUTRAL,2020-10-12,9.01,8.65,9.87,8,False,31.28,2020-10-22,8.65,-4.57,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2020-10-13,31.23,29.98,34.21,8,False,31.99,2020-10-25,29.98,-4.58,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-11-09,12.49,12.17,13.68,6,False,36.11,2020-11-17,13.68,8.95,3.72,WIN
ESRS,INDUSTRIAL,ultra,NEUTRAL,2020-11-16,6.49,6.29,7.11,3,False,31.02,2020-11-19,6.29,-3.66,1.0,LOSS
HELI,REAL_ESTATE,early,BULL,2020-11-17,5.95,5.77,6.52,15,False,30.23,2020-12-08,5.867321968078613,-1.96,0.46,EXIT
ETEL,SERVICES,ultra,NEUTRAL,2020-11-19,8.98,8.71,9.83,15,False,31.54,2020-12-10,8.893204689025879,-1.54,0.32,EXIT
HRHO,SERVICES,ultra,NEUTRAL,2020-12-17,7.57,7.34,8.3,14,False,31.53,2021-01-06,8.3,9.07,3.17,WIN
ORWE,SERVICES,ultra,BULL,2021-01-12,4.63,4.49,5.07,15,False,31.68,2021-02-03,4.49,-3.6,1.0,LOSS
COMI,BANKS,early,BULL,2021-01-12,29.13,27.95,31.91,15,False,33.68,2021-02-03,29.401893615722656,0.36,0.23,EXIT
HELI,REAL_ESTATE,ultra,NEUTRAL,2021-01-26,5.52,5.35,6.04,5,False,30.78,2021-02-03,5.35,-3.65,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2021-02-25,9.33,9.09,10.22,1,False,30.12,2021-02-28,9.09,-3.15,1.0,LOSS
ADIB,BANKS,early,BULL,2021-03-02,9.22,8.94,10.1,1,False,30.4,2021-03-03,8.94,-3.61,1.0,LOSS
EAST,ENERGY,early,NEUTRAL,2021-03-01,9.26,8.98,10.15,4,False,32.91,2021-03-07,8.98,-3.6,1.0,LOSS
ABUK,ENERGY,early,NEUTRAL,2021-02-28,12.65,12.27,13.86,6,False,30.06,2021-03-08,12.27,-3.58,1.0,LOSS
OCDI,REAL_ESTATE,early,BULL,2021-03-03,16.22,15.73,17.77,4,False,32.38,2021-03-09,15.73,-3.6,1.0,LOSS
SKPC,INDUSTRIAL,ultra,BULL,2021-03-03,6.84,6.63,7.49,9,False,30.37,2021-03-16,6.63,-3.65,1.0,LOSS
COMI,BANKS,early,NEUTRAL,2021-02-25,28.81,27.65,31.56,15,False,35.63,2021-03-18,28.143535614013672,-2.89,0.57,EXIT
AMOC,INDUSTRIAL,early,BULL,2021-04-13,2.02,1.94,2.21,1,False,32.26,2021-04-14,1.94,-4.54,1.0,LOSS
FWRY,SERVICES,early,BULL,2021-04-12,10.75,10.32,11.78,4,False,33.02,2021-04-18,11.78,9.01,2.4,WIN
ETEL,SERVICES,ultra,BULL,2021-04-12,8.08,7.84,8.86,15,False,31.84,2021-05-06,8.29195785522461,2.05,0.88,EXIT
ESRS,INDUSTRIAL,ultra,NEUTRAL,2021-04-26,8.61,8.35,9.43,5,False,32.7,2021-05-06,9.43,8.95,3.15,WIN
HRHO,SERVICES,early,NEUTRAL,2021-05-20,8.14,7.89,8.91,2,False,30.44,2021-05-24,7.89,-3.65,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2021-05-23,4.51,4.38,4.94,2,False,34.03,2021-05-25,4.38,-3.46,1.0,LOSS
