Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Tech%,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
KZPC,INDUSTRIAL,10.46,20.6,59,+7.4,-0.2%,3.0x,78%,🧲 BUILDING,🟢 EARLY,0.62,0.32,0.65,0.72,🔵🟢BULL_CONF  🎯 Hunter ⚡,🥇 → 👁️ WATCH (data quality),📈 BULLISH,100.0%,42.25,PROBE,📆 Position (wks),10.41,10.09,11.40,312,92%,3.1x,🔥 ELITE,⚠️ HIGH,→,0.42,1.7%,1.4,Expansion phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (60),✅ OK
ORWE,SERVICES,23.00,25.2,54,+2.6,+0.1%,1.6x,72%,▫️ LIGHT,🟢 EARLY,0.48,0.39,0.50,0.56,🔵🔕🟢BULL_CONF  🎯 Hunter ⚡,🥈 → 👁️ WATCH (data quality),📈 BULLISH,99.7%,33.73,PROBE,📅 Swing (3-10d),22.89,21.96,25.07,107,92%,2.3x,🔥 ELITE,⚠️ HIGH,→,0.72,-1.2%,0.6,Expansion phase | RSI healthy | ✗Bear EMA cross | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
SWDY,ENERGY,79.22,24.8,52,+2.7,+2.6%,1.5x,67%,▫️ LIGHT,🟢 EARLY,0.48,0.37,0.50,0.72,🔵👑🔕🔀BEAR_DIV  🎯 Hunter ⚡,🥉 → 👁️ WATCH (data quality),📈 BULLISH,99.5%,31.04,PROBE,📆 Position (wks),78.82,75.66,86.35,31,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,3.71,-0.6%,0.5,Expansion phase | RSI healthy | ✗Bear vol div | ✗Bear EMA cross | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,✅ OK
SKPC,INDUSTRIAL,18.70,25.2,68,+11.0,+0.2%,1.7x,94%,▫️ LIGHT,🟡 MID,0.29,0.27,0.30,0.44,🔵🔔🟢BULL_CONF   ⚡,#4 → 👁️ WATCH (data quality),📈 BULLISH,99.4%,30.74,PROBE,📅 Swing (3-10d),18.61,17.86,20.38,133,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,0.83,7.2%,0.9,Expansion phase | Vol confirmed | ✗RSI neutral (68) | 🛡️ DataGuard DEGRADED (62),✅ OK
FAIT,BANKS,33.96,14.3,52,+2.0,+5.5%,0.2x,56%,▫️ LIGHT,🟢 EARLY,0.62,0.26,0.65,0.50,🟡🧿🔵BASE,#5 → 👁️ WATCH (data quality),📈 BULLISH,99.4%,30.52,PROBE,📆 Position (wks),33.79,32.77,37.02,98,92%,3.2x,🔥 ELITE,⚠️ HIGH,→,1.37,-0.7%,-0.8,Accum phase | RSI healthy | ✗ADX weak (14) | 🛡️ DataGuard DEGRADED (60),✅ OK
FWRY,SERVICES,17.57,29.3,44,-1.5,+18.4%,1.5x,39%,▫️ LIGHT,🔴 LATE,0.43,0.61,0.40,0.83,🔴🟢BULL_CONF  🎯 Hunter,#6 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,26.68,WAIT,📆 Position (wks),17.48,16.27,20.16,1,—,2.2x,—,⚠️ HIGH,→,0.86,-7.0%,1.2, | ⏳ In LATE zone,✅ OK
ABUK,ENERGY,84.10,31.3,73,+26.0,+49.2%,1.3x,44%,▫️ LIGHT,🟡 MID,0.33,0.23,0.35,0.44,🔵🔀BEAR_DIV   ⚡,#7 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,98.4%,26.59,PROBE,📅 Swing (3-10d),83.68,80.32,91.67,29,92%,2.4x,🔥 ELITE,⚠️ HIGH,→,5.38,11.5%,0.4,Expansion phase | ADX strong (31) | ✗RSI overbought (73) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),✅ OK
ISPH,ENERGY,10.30,22.2,33,-5.8,-1.4%,1.8x,22%,▫️ LIGHT,🔴 LATE,0.10,0.31,0.10,0.50,🔴🔕⚠️CLIMAX_SELL,#8 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,25.21,WAIT,📆 Position (wks),10.25,9.50,11.91,1,—,2.2x,—,🟡 MED,→,0.54,-13.9%,1.3, | ⏳ In LATE zone,✅ OK
HELI,REAL_ESTATE,5.48,45.6,81,+8.2,-3.9%,0.7x,33%,▫️ LIGHT,🟡 MID,0.33,0.36,0.30,0.28,🔵🔀BEAR_DIV,#9 → 🥵 WAIT (RSI 81),⏸️ NEUTRAL,0.0%,22.84,WAIT,📆 Position (wks),5.45,5.06,6.31,1,—,2.2x,—,⚠️ HIGH,→,0.28,16.9%,-0.6, | 🥵 RSI Overbought 81,✅ OK
COMI,BANKS,123.00,33.1,41,-7.0,+13.9%,0.8x,33%,▫️ LIGHT,🔴 LATE,0.52,0.53,0.50,0.61,🟡🔵BASE,#10 → ⏳ WAIT (LATE Zone),⏸️ NEUTRAL,0.0%,21.06,WAIT,📆 Position (wks),122.39,115.00,139.00,1,—,2.2x,—,⚠️ HIGH,→,5.33,-7.3%,-0.5, | ⏳ In LATE zone,✅ OK
