sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
ISPH,ENERGY,buy,BEAR,2020-03-29,5.3,5.17,5.81,1,False,23.92,2020-03-30,5.17,-3.03,1.0,LOSS
ISPH,ENERGY,buy,BEAR,2020-03-30,5.35,5.21,5.86,2,False,27.23,2020-04-01,5.21,-3.19,1.0,LOSS
HRHO,SERVICES,buy,BULL,2020-04-08,6.05,5.9,6.62,1,False,41.66,2020-04-09,6.62,8.85,3.8,WIN
HRHO,SERVICES,buy,BULL,2020-04-09,6.26,6.01,6.86,1,False,36.89,2020-04-12,6.01,-4.57,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-13,6.43,6.17,7.05,2,False,25.01,2020-04-15,6.17,-4.62,1.0,LOSS
FWRY,SERVICES,early,BULL,2020-04-07,2.03,1.95,2.22,8,False,21.23,2020-04-21,2.22,8.78,2.38,WIN
HELI,REAL_ESTATE,buy,NEUTRAL,2020-04-15,3.94,3.78,4.31,2,False,29.85,2020-04-21,3.78,-4.64,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-04-16,6.28,6.02,6.88,1,False,24.27,2020-04-21,6.02,-4.72,1.0,LOSS
JUFO,SERVICES,buy,NEUTRAL,2020-04-21,6.08,5.83,6.66,3,False,22.0,2020-04-26,6.66,8.96,2.32,WIN
ESRS,INDUSTRIAL,buy,NEUTRAL,2020-04-22,5.41,5.19,5.92,2,False,20.72,2020-04-26,5.92,8.85,2.32,WIN
SWDY,ENERGY,early,BULL,2020-04-07,7.46,7.16,8.18,13,False,28.97,2020-04-28,8.18,9.08,2.4,WIN
HELI,REAL_ESTATE,buy,NEUTRAL,2020-04-21,4.03,3.86,4.41,6,False,22.02,2020-04-29,4.41,8.85,2.24,WIN
ABUK,ENERGY,ultra,BULL,2020-04-28,8.75,8.49,9.59,1,False,26.62,2020-04-29,8.49,-3.55,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-04-26,6.14,5.89,6.73,5,False,26.78,2020-05-03,5.89,-4.65,1.0,LOSS
ABUK,ENERGY,ultra,NEUTRAL,2020-04-29,8.53,8.27,9.34,2,False,30.89,2020-05-03,8.27,-3.62,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-04-29,4.35,4.17,4.76,2,False,28.72,2020-05-03,4.17,-4.71,1.0,LOSS
HRHO,SERVICES,buy,NEUTRAL,2020-04-12,6.03,5.78,6.6,14,False,29.94,2020-05-04,5.78,-4.72,1.0,LOSS
SWDY,ENERGY,early,NEUTRAL,2020-05-03,7.6,7.3,8.33,4,False,24.21,2020-05-07,7.3,-4.52,1.0,LOSS
OCDI,REAL_ESTATE,early,NEUTRAL,2020-05-03,9.5,9.12,10.41,4,False,24.07,2020-05-07,9.12,-4.57,1.0,LOSS
ESRS,INDUSTRIAL,early,NEUTRAL,2020-05-04,6.02,5.78,6.59,4,False,21.16,2020-05-10,5.78,-4.56,1.0,LOSS
ETEL,SERVICES,ultra,NEUTRAL,2020-04-26,7.29,7.07,7.99,12,False,22.3,2020-05-12,7.99,9.03,3.18,WIN
JUFO,SERVICES,buy,NEUTRAL,2020-05-04,6.45,6.19,7.07,6,False,22.43,2020-05-12,7.07,9.04,2.38,WIN
EAST,ENERGY,ultra,NEUTRAL,2020-05-11,7.39,7.17,8.1,2,False,25.0,2020-05-13,7.17,-3.55,1.0,LOSS
JUFO,SERVICES,early,NEUTRAL,2020-05-12,6.85,6.64,7.51,2,False,25.91,2020-05-14,6.64,-3.64,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2020-05-13,4.2,4.07,4.6,1,False,23.76,2020-05-14,4.07,-3.67,1.0,LOSS
EAST,ENERGY,buy,NEUTRAL,2020-05-17,7.44,7.22,8.16,1,False,23.55,2020-05-18,7.22,-3.53,1.0,LOSS
ISPH,ENERGY,buy,NEUTRAL,2020-05-11,5.94,5.76,6.5,7,False,21.87,2020-05-20,5.76,-3.61,1.0,LOSS
HELI,REAL_ESTATE,ultra,NEUTRAL,2020-05-18,4.1,3.97,4.49,9,False,28.02,2020-06-07,4.49,8.94,3.0,WIN
ABUK,ENERGY,buy,NEUTRAL,2020-06-02,6.91,6.63,7.57,3,False,20.82,2020-06-07,7.57,8.98,2.36,WIN
JUFO,SERVICES,early,NEUTRAL,2020-05-14,6.6,6.41,7.24,12,False,24.75,2020-06-08,6.41,-3.45,1.0,LOSS
SKPC,INDUSTRIAL,early,NEUTRAL,2020-06-07,3.9,3.74,4.27,4,False,30.15,2020-06-11,3.74,-4.68,1.0,LOSS
TMGH,REAL_ESTATE,early,NEUTRAL,2020-06-08,5.22,5.06,5.72,3,False,28.79,2020-06-11,5.06,-3.64,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2020-06-07,7.22,7.0,7.91,5,False,26.25,2020-06-14,7.0,-3.62,1.0,LOSS
CIEB,BANKS,early,NEUTRAL,2020-06-11,5.24,5.03,5.74,1,False,24.04,2020-06-14,5.03,-4.58,1.0,LOSS
SAUD,BANKS,buy,NEUTRAL,2020-05-19,2.45,2.37,2.68,15,False,25.88,2020-06-16,2.4242753982543945,-1.62,0.32,EXIT
HELI,REAL_ESTATE,early,NEUTRAL,2020-06-14,4.54,4.36,4.98,2,False,21.32,2020-06-16,4.98,9.12,2.44,WIN
ETEL,SERVICES,buy,NEUTRAL,2020-06-01,8.46,8.21,9.27,15,False,23.86,2020-06-22,8.821310997009277,3.7,1.45,EXIT
HRHO,SERVICES,early,NEUTRAL,2020-06-11,6.72,6.52,7.36,8,False,23.02,2020-06-23,7.36,8.95,3.2,WIN
TMGH,REAL_ESTATE,buy,NEUTRAL,2020-06-15,5.09,4.93,5.57,7,False,23.64,2020-06-24,5.57,8.86,3.0,WIN
HRHO,SERVICES,early,NEUTRAL,2020-06-23,7.29,6.99,7.98,2,False,21.53,2020-06-25,7.98,8.89,2.3,WIN
JUFO,SERVICES,buy,NEUTRAL,2020-06-16,6.5,6.31,7.13,11,False,21.03,2020-07-05,7.13,9.12,3.32,WIN
ABUK,ENERGY,early,NEUTRAL,2020-06-17,7.68,7.37,8.41,12,False,24.11,2020-07-07,8.41,8.93,2.35,WIN
ETEL,SERVICES,early,NEUTRAL,2020-06-28,9.28,8.9,10.16,5,False,20.73,2020-07-07,10.16,8.91,2.32,WIN
ESRS,INDUSTRIAL,ultra,NEUTRAL,2020-07-05,5.53,5.36,6.06,2,False,23.19,2020-07-07,5.36,-3.65,1.0,LOSS
SKPC,INDUSTRIAL,ultra,NEUTRAL,2020-07-07,3.7,3.59,4.05,2,False,28.34,2020-07-09,3.59,-3.55,1.0,LOSS
