date,symbol,sector,price,action,signal,smart_rank,confidence,zone,rsi,adx,entry,stop,target,rr,atr,vol_ratio,pct_ema200,adapt_mom,dg_tier,signal_reason,price_1w,price_2w,result,notes
2026-03-10,KZPC,INDUSTRIAL,10.460000038146973,PROBE,👁️ WATCH (data quality),28.56,96.7,🟢 EARLY,59.2,20.6,10.41,10.09,11.4,3.1,0.419,3.0,-0.2,7.35,DEGRADED,Expansion phase | RSI healthy | ✗Below EMA200 | 🛡️ DataGuard DEGRADED (60),,,,
2026-03-10,SKPC,INDUSTRIAL,18.700000762939453,PROBE,👁️ WATCH (data quality),27.75,96.0,🟡 MID,68.2,25.2,18.61,17.86,20.38,2.4,0.826,1.7,0.2,11.02,DEGRADED,Expansion phase | Vol confirmed | ✗RSI neutral (68) | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-10,MFPC,ENERGY,43.29999923706055,PROBE,👀 WATCH ⚠️OB,24.57,91.6,🟡 MID,74.1,47.8,43.08,41.35,47.2,2.4,2.202,1.15,30.8,23.26,DEGRADED,Expansion phase | ADX strong (48) | ✗RSI overbought (74) | ✗Extended 31% vs EMA200 | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-10,ORWE,SERVICES,23.0,PROBE,👁️ WATCH (data quality),23.0,88.1,🟢 EARLY,53.9,25.2,22.89,21.96,25.07,2.3,0.719,1.61,0.1,2.62,DEGRADED,Expansion phase | RSI healthy | ✗Bear EMA cross | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,,,,
2026-03-10,ABUK,ENERGY,84.0999984741211,PROBE,👀 WATCH ⚠️OB,22.84,87.6,🟡 MID,73.2,31.3,83.68,80.32,91.67,2.4,5.377,1.25,49.2,26.01,DEGRADED,Expansion phase | ADX strong (31) | ✗RSI overbought (73) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-10,FAIT,BANKS,33.959999084472656,PROBE,👁️ WATCH (data quality),22.61,87.0,🟢 EARLY,52.5,14.3,33.79,32.77,37.02,3.2,1.37,0.18,5.5,2.0,DEGRADED,Accum phase | RSI healthy | ✗ADX weak (14) | 🛡️ DataGuard DEGRADED (60),,,,
2026-03-10,AMOC,INDUSTRIAL,9.3100004196167,WAIT,⏳ WAIT (LATE Zone),21.95,0.0,🔴 LATE,85.7,28.8,9.26,8.72,10.48,2.3,0.391,4.03,27.6,24.8,DEGRADED, | ⏳ In LATE zone,,,,
2026-03-10,FWRY,SERVICES,17.56999969482422,WAIT,⏳ WAIT (LATE Zone),19.86,0.0,🔴 LATE,44.0,29.3,17.48,16.27,20.16,2.2,0.864,1.55,18.4,-1.48,DEGRADED, | ⏳ In LATE zone,,,,
2026-03-10,SWDY,ENERGY,79.22000122070312,PROBE,👁️ WATCH (data quality),19.52,75.6,🟢 EARLY,52.4,24.8,78.82,75.66,86.35,2.4,3.712,1.55,2.6,2.68,DEGRADED,Expansion phase | RSI healthy | ✗Bear vol div | ✗Bear EMA cross | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,,,,
2026-03-10,HELI,REAL_ESTATE,5.480000019073486,WAIT,🥵 WAIT (RSI 81),19.39,0.0,🟡 MID,81.4,45.6,5.45,5.06,6.31,2.2,0.277,0.65,-3.9,8.18,DEGRADED, | 🥵 RSI Overbought 81,,,,
2026-03-10,OCDI,REAL_ESTATE,18.020000457763672,WAIT,📊 WAIT (Rank),13.97,0.0,🟢 EARLY,45.8,19.2,17.93,16.64,20.78,2.2,0.92,0.39,-35.5,0.27,DEGRADED, | 📊 Rank too low: 14.0 < 16.8,,,,
2026-03-10,SAUD,BANKS,17.940000534057617,WAIT,📊 WAIT (Rank),13.8,0.0,🟡 MID,49.6,29.2,17.85,16.87,20.07,2.3,0.711,1.37,20.5,-4.35,DEGRADED, | 📊 Rank too low: 13.8 < 16.8,,,,
2026-03-10,EAST,ENERGY,37.59000015258789,WAIT,📊 WAIT (Rank),13.16,0.0,🔴 LATE,39.8,17.1,37.4,35.08,42.6,2.2,1.671,1.18,-2.3,-4.32,DEGRADED, | 📊 Rank too low: 13.2 < 16.8,,,,
2026-03-10,COMI,BANKS,123.0,WAIT,📊 WAIT (Rank),12.77,0.0,🔴 LATE,40.9,33.1,122.39,115.0,139.0,2.2,5.335,0.78,13.9,-7.03,DEGRADED, | 📊 Rank too low: 12.8 < 16.8,,,,
2026-03-10,PHDC,REAL_ESTATE,8.670000076293945,WAIT,📊 WAIT (Rank),12.55,0.0,🟡 MID,44.1,23.4,8.63,8.04,9.93,2.2,0.419,0.64,7.0,-0.51,DEGRADED, | 📊 Rank too low: 12.6 < 16.8,,,,
2026-03-10,TMGH,REAL_ESTATE,76.5,WAIT,📊 WAIT (Rank),12.28,0.0,🔴 LATE,33.7,35.5,76.12,70.84,87.83,2.2,3.776,1.17,8.7,-11.28,DEGRADED, | 📊 Rank too low: 12.3 < 16.8,,,,
2026-03-10,CIEB,BANKS,21.3799991607666,WAIT,📊 WAIT (Rank),12.26,0.0,🔴 LATE,33.4,37.9,21.27,19.91,24.32,2.2,0.979,1.06,-0.8,-3.2,DEGRADED, | 📊 Rank too low: 12.3 < 16.8,,,,
2026-03-10,JUFO,SERVICES,26.329999923706055,WAIT,📊 WAIT (Rank),11.68,0.0,🔴 LATE,39.4,29.4,26.2,24.84,29.32,2.3,0.996,1.61,-3.7,-1.14,DEGRADED, | 📊 Rank too low: 11.7 < 16.8,,,,
2026-03-10,ETEL,SERVICES,82.12999725341797,WAIT,📊 WAIT (Rank),11.46,0.0,🔴 LATE,41.9,35.7,81.72,76.07,94.24,2.2,4.038,1.15,33.5,-8.15,DEGRADED, | 📊 Rank too low: 11.5 < 16.8,,,,
2026-03-10,HRHO,SERVICES,25.780000686645508,WAIT,📊 WAIT (Rank),11.42,0.0,🔴 LATE,34.7,30.0,25.65,24.12,29.1,2.3,1.105,1.15,-3.2,-3.69,DEGRADED, | 📊 Rank too low: 11.4 < 16.8,,,,
2026-03-10,ISPH,ENERGY,10.300000190734863,WAIT,📊 WAIT (Rank),11.11,0.0,🔴 LATE,32.7,22.2,10.25,9.5,11.91,2.2,0.535,1.77,-1.4,-5.76,DEGRADED, | 📊 Rank too low: 11.1 < 16.8,,,,
