date,symbol,sector,price,action,signal,smart_rank,confidence,zone,rsi,adx,entry,stop,target,rr,atr,vol_ratio,pct_ema200,adapt_mom,dg_tier,signal_reason,price_1w,price_2w,result,notes
2026-03-11,AMOC,INDUSTRIAL,8.569999694824219,PROBE,👁️ WATCH (data quality),24.48,91.5,🟡 MID,66.6,29.6,8.53,8.18,9.34,2.3,0.449,1.49,17.2,29.05,DEGRADED,Expansion phase | Vol confirmed | ✗RSI neutral (67) | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (61),,,,
2026-03-11,KZPC,INDUSTRIAL,10.109999656677246,PROBE,⚠️ WATCH (Weak Sector),24.22,90.9,🟢 EARLY,51.2,20.0,10.06,9.76,11.02,3.2,0.444,2.04,-3.5,6.51,DEGRADED,RSI healthy | Vol confirmed | ✗No clear phase | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (60) | 🔄 MomGuard: TREND_NOT_CONFIRMED(price=10.11),,,,
2026-03-11,SKPC,INDUSTRIAL,18.010000228881836,PROBE,👁️ WATCH (data quality),22.96,88.0,🟢 EARLY,60.0,24.9,17.92,17.2,19.63,2.4,0.859,0.68,-3.4,11.36,DEGRADED,Expansion phase | RSI healthy | ✗Below EMA200 | ⚠️ Weak sector history: INDUSTRIAL | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-11,PHDC,REAL_ESTATE,8.899999618530273,PROBE,👁️ WATCH (data quality),21.21,82.5,🟢 EARLY,49.0,22.0,8.86,8.63,9.7,3.7,0.41,0.53,9.8,-0.49,DEGRADED,"RSI healthy | Vol confirmed | ✗No clear phase | 🛡️ DataGuard DEGRADED (64) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=8.90)",,,,
2026-03-11,ABUK,ENERGY,79.9000015258789,PROBE,👁️ WATCH (data quality),20.57,80.1,🟢 EARLY,64.0,31.7,79.5,76.3,87.09,2.4,5.529,0.85,41.1,22.47,DEGRADED,Expansion phase | ADX strong (32) | ✗RSI neutral (64) | ✗Bear vol div | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-11,FWRY,SERVICES,17.899999618530273,PROBE,👁️ WATCH (data quality),20.46,79.7,🟢 EARLY,47.4,27.7,17.81,17.09,19.51,2.4,0.876,1.46,20.3,0.3,DEGRADED,"Vol confirmed | ✗No clear phase | ✗RSI neutral (47) | 🛡️ DataGuard DEGRADED (62) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=17.90)",,,,
2026-03-11,MFPC,ENERGY,41.900001525878906,PROBE,👁️ WATCH (data quality),19.58,75.9,🟡 MID,67.5,48.6,41.69,40.01,45.67,2.4,2.239,0.71,26.2,23.37,DEGRADED,Expansion phase | ADX strong (49) | ✗RSI neutral (68) | ✗Bear vol div | 💧 CMF Boost: 0.20 → ×1.1 | 🛡️ DataGuard DEGRADED (62),,,,
2026-03-11,CIEB,BANKS,22.190000534057617,PROBE,👁️ WATCH (data quality),19.09,73.5,🟡 MID,43.3,37.8,22.08,21.52,24.19,3.8,0.954,1.61,3.0,-0.41,DEGRADED,"ADX strong (38) | Vol confirmed | ✗No clear phase | ✗RSI neutral (43) | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=22.19)",,,,
2026-03-11,ADIB,BANKS,38.970001220703125,PROBE,👁️ WATCH (data quality),18.79,72.1,🟡 MID,51.4,29.6,38.78,37.8,42.48,3.8,2.18,1.01,23.1,-5.0,DEGRADED,RSI healthy | Vol confirmed | ✗No clear phase | ✗Weak mom | 🛡️ DataGuard DEGRADED (63) | 🔄 MomGuard: MOM_NOT_PERSISTENT,,,,
2026-03-11,COMI,BANKS,129.5,PROBE,👁️ WATCH (data quality),17.07,62.7,🟡 MID,50.2,32.6,128.85,125.61,141.16,3.8,5.621,0.75,19.6,-2.52,DEGRADED,"ADX strong (33) | RSI healthy | ✗No clear phase | ✗Bear vol div | 🛡️ DataGuard DEGRADED (61) | 🔄 MomGuard: MOM_NOT_PERSISTENT,TREND_NOT_CONFIRMED(price=129.50)",,,,
2026-03-11,JUFO,SERVICES,26.579999923706055,WAIT,📊 WAIT (Rank),16.21,0.0,🔴 LATE,42.0,30.0,26.45,25.05,29.64,2.3,1.021,1.41,-2.8,-1.48,DEGRADED, | 📊 Rank too low: 16.2 < 16.8,,,,
2026-03-11,SWDY,ENERGY,79.4000015258789,WAIT,📊 WAIT (Rank),15.72,0.0,🟢 EARLY,53.0,24.1,79.0,74.32,89.56,2.3,3.388,0.33,2.8,3.58,DEGRADED, | 📊 Rank too low: 15.7 < 16.8,,,,
2026-03-11,HRHO,SERVICES,26.68000030517578,WAIT,📊 WAIT (Rank),15.35,0.0,🔴 LATE,43.4,29.6,26.55,25.07,29.9,2.3,1.074,0.86,0.2,-1.22,DEGRADED, | 📊 Rank too low: 15.3 < 16.8,,,,
2026-03-11,HELI,REAL_ESTATE,5.639999866485596,WAIT,📊 WAIT (Rank),15.18,0.0,🟡 MID,83.2,46.3,5.61,5.21,6.51,2.2,0.289,0.65,-1.1,10.3,DEGRADED, | 📊 Rank too low: 15.2 < 16.8,,,,
2026-03-11,ORWE,SERVICES,23.059999465942383,WAIT,📊 WAIT (Rank),14.8,0.0,🟢 EARLY,54.6,23.9,22.94,21.99,25.19,2.4,0.71,0.45,0.4,4.74,DEGRADED, | 📊 Rank too low: 14.8 < 16.8,,,,
2026-03-11,FAIT,BANKS,34.16999816894531,WAIT,📊 WAIT (Rank),14.68,0.0,🟢 EARLY,53.8,13.4,34.0,32.21,38.09,2.3,1.306,0.53,6.1,1.23,DEGRADED, | 📊 Rank too low: 14.7 < 16.8,,,,
2026-03-11,TMGH,REAL_ESTATE,79.80000305175781,WAIT,📊 WAIT (Rank),14.68,0.0,🔴 LATE,41.4,35.6,79.4,73.9,91.6,2.2,3.934,1.1,13.2,-6.72,DEGRADED, | 📊 Rank too low: 14.7 < 16.8,,,,
2026-03-11,EAST,ENERGY,37.849998474121094,WAIT,📊 WAIT (Rank),14.36,0.0,🔴 LATE,41.4,18.1,37.66,35.4,42.76,2.3,1.636,0.38,-1.6,-3.89,DEGRADED, | 📊 Rank too low: 14.4 < 16.8,,,,
2026-03-11,SAUD,BANKS,18.110000610351562,WAIT,📊 WAIT (Rank),13.96,0.0,🟡 MID,51.9,29.1,18.02,17.05,20.23,2.3,0.706,0.51,21.3,-3.11,DEGRADED, | 📊 Rank too low: 14.0 < 16.8,,,,
2026-03-11,OCDI,REAL_ESTATE,18.110000610351562,WAIT,📊 WAIT (Rank),13.02,0.0,🟢 EARLY,46.7,18.0,18.02,16.8,20.74,2.2,0.876,0.3,-35.0,0.91,DEGRADED, | 📊 Rank too low: 13.0 < 16.8,,,,
2026-03-11,ISPH,ENERGY,10.649999618530273,WAIT,📊 WAIT (Rank),10.87,0.0,🔴 LATE,38.9,23.6,10.6,9.82,12.31,2.2,0.554,2.29,1.9,-6.4,DEGRADED, | 📊 Rank too low: 10.9 < 16.8,,,,
2026-03-11,ETEL,SERVICES,84.01000213623047,WAIT,📊 WAIT (Rank),9.03,0.0,🟡 MID,45.0,33.7,83.59,77.93,96.16,2.2,4.05,0.56,36.1,-6.88,DEGRADED, | 📊 Rank too low: 9.0 < 16.8,,,,
2026-03-11,EGTS,SERVICES,7.130000114440918,WAIT,📊 WAIT (Rank),8.4,0.0,🔴 LATE,35.6,42.0,7.09,6.79,7.8,2.4,0.224,0.49,-8.4,-1.37,DEGRADED, | 📊 Rank too low: 8.4 < 16.8,,,,
2026-03-11,CNFN,BANKS,4.03000020980835,WAIT,📊 WAIT (Rank),8.26,0.0,🟡 MID,36.1,40.3,4.01,3.78,4.54,2.3,0.169,0.63,-14.0,3.31,DEGRADED, | 📊 Rank too low: 8.3 < 16.8,,,,
